Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,Price
1,1360,5,4,3,1970,Downtown,Excellent,No,149919
2,4272,5,4,3,1958,Downtown,Excellent,No,424998
3,3592,2,,3,1938,Downtown,Good,No,266746
4,966,4,2,2,1902,Suburban,Fair,Yes,244020
5,4926,1,4,2,1975,Downtown,Fair,Yes,0
6,3944,1,2,1,1906,Urban,Poor,No,93262
7,3671,1,1,2,1948,Rural,Poor,Yes,448722
8,,2,4,1,1925,Suburban,Good,Yes,594893
9,630,2,2,1,1932,Rural,Poor,Yes,652878
10,2185,3,3,1,2000,Downtown,Poor,No,340375
11,1269,1,4,2,1947,Suburban,Poor,,653685
12,2891,4,4,3,1978,Urban,Excellent,Yes,127123
13,2933,4,3,2,1901,Downtown,Poor,No,849947
14,1684,1,1,1,2004,Rural,Good,No,399355
15,3885,1,3,1,1970,Urban,Fair,Yes,481838
16,4617,1,4,2,,Downtown,Poor,No,853032
17,3404,2,1,1,1903,Urban,Fair,Yes,208964
18,974,2,2,1,1919,Downtown,Poor,Yes,905742
19,1582,2,2,2,2013,Suburban,Good,No,989305
20,3058,5,2,2,2016,Downtown,Excellent,No,218767
21,2547,4,4,2,1935,Suburban,Good,Yes,996357
22,3247,4,3,1,1931,Downtown,Excellent,No,709789
23,1475,3,1,1,1927,Downtown,Poor,No,709966
24,2306,2,2,3,1976,Rural,Poor,Yes,447694
25,689,5,1,3,1900,Urban,Excellent,Yes,688668
26,3234,5,4,2,1959,Urban,Good,Yes,527032
27,3505,4,2,3,1955,Urban,Good,Yes,745494
28,2399,2,4,1,1934,Downtown,Excellent,Yes,513179
29,1767,3,3,3,2011,Downtown,Poor,Yes,948212
30,2028,2,4,1,1929,Downtown,Excellent,No,206547
